"Date (UTC)","Loss","Jitter","Avg RTT","Min RTT","Max RTT"
"2017-09-10 09:20:12","0.0","2.035195","161.0","157.0","174.0"
"2017-09-10 09:25:12","0.0","4.055993","164.0","158.0","225.0"
"2017-09-10 09:30:13","0.0","3.2352","163.0","157.0","174.0"
"2017-09-10 09:35:13","0.0","2.574399","162.0","158.0","171.0"
"2017-09-10 09:40:13","0.0","7.052786","165.0","157.0","203.0"
"2017-09-10 09:45:13","0.0","2.417598","161.0","157.0","173.0"
"2017-09-10 09:50:13","0.0","3.015996","163.0","157.0","176.0"
"2017-09-10 09:55:12","0.0","2.607201","162.0","158.0","172.0"
"2017-09-10 10:00:14","0.0","3.26","163.0","158.0","177.0"
"2017-09-10 10:05:13","0.0","3.697604","163.0","157.0","182.0"
"2017-09-10 10:10:12","0.0","6.244801","165.0","157.0","195.0"
"2017-09-10 10:15:12","0.0","2.66","163.0","158.0","174.0"
"2017-09-10 10:20:12","0.0","3.0112","163.0","157.0","176.0"
"2017-09-10 10:25:12","0.0","4.388798","164.0","158.0","180.0"
"2017-09-10 10:30:14","0.0","20.153627","173.0","157.0","332.0"
"2017-09-10 10:35:13","0.0","3.071199","163.0","157.0","185.0"
"2017-09-10 10:40:12","0.0","2.870394","161.0","157.0","176.0"
"2017-09-10 10:45:14","0.0","4.406396","164.0","158.0","191.0"
"2017-09-10 10:50:13","0.0","4.233603","164.0","158.0","185.0"
"2017-09-10 10:55:13","0.0","4.875992","164.0","157.0","197.0"
"2017-09-10 11:00:12","0.0","2.282399","161.0","156.0","167.0"
"2017-09-10 11:05:12","0.0","4.57521","164.0","157.0","189.0"
"2017-09-10 11:10:11","0.0","2.8192","163.0","157.0","190.0"
"2017-09-10 11:15:13","0.0","4.524797","164.0","158.0","194.0"
"2017-09-10 11:20:12","0.0","2.5448","163.0","157.0","173.0"
"2017-09-10 11:25:12","0.0","1.905601","161.0","157.0","169.0"
"2017-09-10 11:30:13","0.0","8.472002","168.0","157.0","211.0"
"2017-09-10 11:35:13","0.0","5.643997","164.0","158.0","239.0"
"2017-09-10 11:40:12","0.0","5.44","166.0","157.0","219.0"
"2017-09-10 11:45:13","0.0","3.273608","162.0","157.0","175.0"
"2017-09-10 11:50:13","0.0","3.207999","163.0","156.0","179.0"
"2017-09-10 11:55:12","0.0","2.424808","162.0","157.0","171.0"
"2017-09-10 12:00:13","0.0","3.523998","163.0","158.0","180.0"
"2017-09-10 12:05:13","0.0","4.611997","164.0","156.0","191.0"
"2017-09-10 12:10:12","0.0","3.744009","164.0","157.0","197.0"
"2017-09-10 12:15:13","0.0","4.431992","165.0","158.0","236.0"
"2017-09-10 12:20:13","0.0","2.593602","162.0","158.0","170.0"
"2017-09-10 12:25:12","0.0","2.908798","163.0","158.0","176.0"
"2017-09-10 12:30:13","0.0","5.499203","164.0","158.0","194.0"
"2017-09-10 12:35:12","0.0","6.577578","165.0","157.0","213.0"
"2017-09-10 12:40:13","0.0","3.281593","162.0","156.0","190.0"
"2017-09-10 12:45:12","0.0","4.859999","164.0","156.0","186.0"
"2017-09-10 12:50:12","0.0","6.485605","166.0","158.0","210.0"
"2017-09-10 12:55:13","0.0","2.294401","162.0","158.0","170.0"
"2017-09-10 13:00:12","0.0","2.832798","163.0","157.0","184.0"
"2017-09-10 13:05:12","1.9999981","2.729699","162.0","157.0","177.0"
"2017-09-10 13:10:12","0.0","4.328001","163.0","157.0","194.0"
"2017-09-10 13:15:14","0.0","3.5352","163.0","157.0","214.0"
"2017-09-10 13:20:14","0.0","4.070404","163.0","157.0","187.0"
"2017-09-10 13:25:13","0.0","8.491975","165.0","156.0","268.0"
"2017-09-10 13:30:13","0.0","2.8368","163.0","158.0","197.0"
"2017-09-10 13:35:13","0.0","7.208003","166.0","158.0","205.0"
"2017-09-10 13:40:13","0.0","3.654404","163.0","158.0","198.0"
"2017-09-10 13:45:12","0.0","10.412012","169.0","158.0","213.0"
"2017-09-10 13:50:13","0.0","3.664003","163.0","157.0","182.0"
"2017-09-10 13:55:13","0.0","3.428801","163.0","157.0","177.0"
"2017-09-10 14:00:12","0.0","3.056003","163.0","158.0","181.0"
"2017-09-10 14:05:12","0.0","5.312002","165.0","158.0","192.0"
"2017-09-10 14:10:12","0.0","6.16319","166.0","158.0","199.0"
"2017-09-10 14:15:12","0.0","3.195991","163.0","157.0","178.0"
"2017-09-10 14:20:12","0.0","5.82","166.0","158.0","202.0"
"2017-09-10 14:25:13","0.0","8.673593","167.0","158.0","228.0"
"2017-09-10 14:30:12","0.0","8.649611","167.0","158.0","230.0"
"2017-09-10 14:35:13","0.0","3.195195","162.0","157.0","180.0"
"2017-09-10 14:40:13","0.0","5.528006","165.0","158.0","202.0"
"2017-09-10 14:45:14","0.0","4.648006","165.0","157.0","195.0"
"2017-09-10 14:50:14","0.0","3.619197","163.0","156.0","190.0"
"2017-09-10 14:55:12","0.0","2.18","162.0","158.0","168.0"
"2017-09-10 15:00:14","0.0","2.283204","161.0","157.0","169.0"
"2017-09-10 15:05:14","0.0","2.5088","162.0","157.0","169.0"
"2017-09-10 15:10:13","0.0","4.471993","164.0","157.0","193.0"
"2017-09-10 15:15:13","0.0","2.388801","162.0","158.0","168.0"
"2017-09-10 15:20:13","0.0","3.302401","163.0","157.0","178.0"
"2017-09-10 15:25:13","0.0","5.030396","164.0","156.0","195.0"
"2017-09-10 15:30:13","0.0","2.936002","162.0","157.0","176.0"
"2017-09-10 15:35:14","0.0","3.222402","163.0","156.0","173.0"
"2017-09-10 15:40:12","0.0","3.731194","163.0","158.0","187.0"
"2017-09-10 15:45:11","0.0","7.496002","166.0","156.0","219.0"
"2017-09-10 15:50:13","0.0","3.8064","163.0","157.0","206.0"
"2017-09-10 15:55:12","0.0","7.017602","168.0","159.0","204.0"
"2017-09-10 16:00:14","0.0","3.2976","163.0","158.0","181.0"
"2017-09-10 16:05:12","0.0","2.36","163.0","156.0","173.0"
